,ID,Year,District_code,District_name_chi,Constituency_code,Constituency_name,Candidate_name,Candidate_alias,Gender,Age,Occupation,Win_or_not,Uncontested_or_not,Political affiliation,Camp,Votes,Percentage_of_votes_obtained,得票率 估算
1999阮品強,1999A01阮品強,1999,A,中西區,A01,中環,阮品強,,男,56,中學教師,Y, ,民主黨,泛,1179,67.95,
1999李萬權,1999A01李萬權,1999,A,中西區,A01,中環,李萬權,,男,38,電訊工程經理,,,民建聯,建,546,31.47,
1999郭家麒,1999A02郭家麒,1999,A,中西區,A02,半山東,郭家麒,,男,38,醫生,Y, ,,泛,1074,55.48,
1999王敏賢,1999A02王敏賢,1999,A,中西區,A02,半山東,王敏賢,曹王敏賢,女,54,大學高級講師,,,港進聯,建,851,43.96,
1999鄭麗琼,1999A03鄭麗琼,1999,A,中西區,A03,衛城,鄭麗琼,,女,40,社區工作主任,Y,,民主黨,泛,1014,70.96,
1999蘇麗仙,1999A03蘇麗仙,1999,A,中西區,A03,衛城,蘇麗仙,,女,36,保險營業經理,,,民建聯,建,402,28.13,
1999梁永安,1999A04梁永安,1999,A,中西區,A04,山頂,梁永安,,男,39,執業會計師,,,,建,412,34.56,
1999田北俊,1999A04田北俊,1999,A,中西區,A04,山頂,田北俊,,男,52,公司主席,Y,,自由黨,建,774,64.93,
1999陳捷貴,1999A05陳捷貴,1999,A,中西區,A05,大學,陳捷貴,,男,50,大學宿舍經理,Y,Uncontested,,建,,,
1999陳國樑,1999A06陳國樑,1999,A,中西區,A06,堅摩,陳國樑,,男,33,市政局議員,,,民主黨,泛,1079,46.77,
1999楊位款,1999A06楊位款,1999,A,中西區,A06,堅摩,楊位款,,男,43,銀行副經理,Y,,民建聯,建,1217,52.75,
1999莫佩嫺,1999A07莫佩嫺,1999,A,中西區,A07,觀龍,莫佩嫺,,女,26,社區工作主任,,,,泛,1141,42.03,
1999葉國謙,1999A07葉國謙,1999,A,中西區,A07,觀龍,葉國謙,,男,48,校長助理,Y,,民建聯,建,1552,57.16,
1999陳特楚,1999A08陳特楚,1999,A,中西區,A08,西環,陳特楚,,男,54,行政董事,Y,Uncontested,自由黨,建,,,
1999林其盛,1999A09林其盛,1999,A,中西區,A09,寶翠,林其盛,,男,29,專業保險顧問,,,民主黨,泛,1157,47.55,
1999黃哲民,1999A09黃哲民,1999,A,中西區,A09,寶翠,黃哲民,,男,41,銀行副經理,Y,,民建聯,建,1262,51.87,
1999陳財喜,1999A10陳財喜,1999,A,中西區,A10,石塘咀,陳財喜,,男,43,董事,Y,,,其他,1309,48.23,
1999黃澤禮,1999A10黃澤禮,1999,A,中西區,A10,石塘咀,黃澤禮,,男,26,會計秘書,,,民主黨,泛,762,28.08,
1999李躍進,1999A10李躍進,1999,A,中西區,A10,石塘咀,李躍進,,男,41,公司東主,,,民建聯,建,632,23.29,
1999黎國雄,1999A11黎國雄,1999,A,中西區,A11,西營盤,黎國雄,,男,41,教育行政人員,Y,,,其他,1248,49.76,
1999陳耀強,1999A11陳耀強,1999,A,中西區,A11,西營盤,陳耀強,,男,48,行政人員,,,民建聯,建,1243,49.56,
1999甘乃威,1999A12甘乃威,1999,A,中西區,A12,上環,甘乃威,,男,39,社區工作主任,Y,,民主黨,泛,1468,67.77,
1999袁照興,1999A12袁照興,1999,A,中西區,A12,上環,袁照興,,男,46,行政人員,,,民建聯,建,688,31.76,
1999何俊麒,1999A13何俊麒,1999,A,中西區,A13,東華,何俊麒,,男,42,見習律師,Y,,民主黨,泛,898,64.37,
1999鄭志強,1999A13鄭志強,1999,A,中西區,A13,東華,鄭志強,,男,31,議員助理,,,民建聯,建,487,34.91,
1999梁耀祖,1999A14梁耀祖,1999,A,中西區,A14,正街,梁耀祖,,男,26,見習律師,Y,,民主黨,泛,1063,58.12,
1999唐偉源,1999A14唐偉源,1999,A,中西區,A14,正街,唐偉源,,男,36,行政人員,,,民建聯,建,739,40.4,
1999戴卓賢,1999A15戴卓賢,1999,A,中西區,A15,水街,戴卓賢,,男,38,文化出版,Y,,一二三,泛,1096,51.75,
1999溫祖堯,1999A15溫祖堯,1999,A,中西區,A15,水街,溫祖堯,,男,40,印刷商人,,,民主黨,泛,983,46.41,
1999黃漢清,1999B01黃漢清,1999,B,灣仔,B01,軒尼詩,黃漢清,,男,46,成本工程師,Y,Uncontested,華革會,建,,,
1999鄭琴淵,1999B02鄭琴淵,1999,B,灣仔,B02,愛群,鄭琴淵,,女,53,全職議員,Y,Uncontested,民建聯,建,,,
1999孫啟昌 ,1999B03孫啟昌 ,1999,B,灣仔,B03,鵝頸,孫啟昌 ,,男,45,社團活動中心總幹事,Y,Uncontested,民建聯,建,,,
1999謝永齡,1999B04謝永齡,1999,B,灣仔,B04,銅鑼灣,謝永齡,,男,45,大學副教授,Y,,民主黨,泛,783,45.63,
1999李均頤,1999B04李均頤,1999,B,灣仔,B04,銅鑼灣,李均頤,,女,30,公司常務董事,,,民建聯,建,630,36.71,
1999李兆富,1999B04李兆富,1999,B,灣仔,B04,銅鑼灣,李兆富,,男,23,議員助理,,,自由黨,建,289,16.84,
1999李慶偉,1999B05李慶偉,1999,B,灣仔,B05,大坑,李慶偉,,男,40,社會工作者,Y,,民主黨,泛,877,51.8,
1999阮鎮泉,1999B05阮鎮泉,1999,B,灣仔,B05,大坑,阮鎮泉,,男,49,酒店經理,,,民建聯,建,801,47.31,
1999曹聖玉,1999B06曹聖玉,1999,B,灣仔,B06,渣甸山,曹聖玉,龐曹聖玉,女,50,護理總經理,Y,Uncontested,,建,,,
1999龐可榮,1999B07龐可榮,1999,B,灣仔,B07,樂活,龐可榮,,男,52,牙科醫生,,,,其他,398,30.45,
1999黃英琦,1999B07黃英琦,1999,B,灣仔,B07,樂活,黃英琦,,女,40,律師,Y,,自由黨,建,883,67.56,
1999吳錦津,1999B08吳錦津,1999,B,灣仔,B08,跑馬地,吳錦津,,男,48,公司董事,Y,,,建,1398,82.58,
1999鄧平,1999B08鄧平,1999,B,灣仔,B08,跑馬地,鄧平,,男,48,市務經理,,,民主黨,泛,285,16.83,
1999馮國輝,1999B09馮國輝,1999,B,灣仔,B09,司徒拔道,馮國輝,馮兩努,男,46,專欄作家,Y,,,建,766,43.25,
1999李建賢,1999B09李建賢,1999,B,灣仔,B09,司徒拔道,李建賢,,男,46,社會工作,,,民主黨,泛,318,17.96,
1999周梁淑怡,1999B09周梁淑怡,1999,B,灣仔,B09,司徒拔道,周梁淑怡,,女,54,立法會議員,,,自由黨,建,683,38.57,
1999林貝聿嘉,1999B10林貝聿嘉,1999,B,灣仔,B10,修頓,林貝聿嘉,,女,71,全職議員,Y,Uncontested,,建,,,
1999蘇繼權,1999B11蘇繼權,1999,B,灣仔,B11,大佛口,蘇繼權,,男,48,會計顧問,,,民主黨,泛,540,29.52,
1999盧天送,1999B11盧天送,1999,B,灣仔,B11,大佛口,盧天送,,男,54,銀行副經理,Y,,民建聯,建,1275,69.71,
1999羅友聖,1999C01羅友聖,1999,C,東區,C01,太古城西,羅友聖,,男,63,房屋管理顧問,Y,Uncontested,,其他,,,
1999曹漢光,1999C02曹漢光,1999,C,東區,C02,太古城東,曹漢光,,男,52,全職區議員,Y,,民主黨,泛,1988,73.12,
1999陳航,1999C02陳航,1999,C,東區,C02,太古城東,陳航,,男,37,行政經理,,,民建聯,建,711,26.15,
1999蔣業暉,1999C03蔣業暉,1999,C,東區,C03,鯉景灣,蔣業暉,,男,55,電業承辦商,,,,其他,878,38.9,
1999傅元章,1999C03傅元章,1999,C,東區,C03,鯉景灣,傅元章,,男,50,人壽保險／僱員 福利顧問,Y,,,其他,1356,60.08,
1999勞鍱珍,1999C04勞鍱珍,1999,C,東區,C04,筲箕灣,勞鍱珍,,女,51,全職議員,Y,Uncontested,民建聯,建,,,
1999陳達文,1999C05陳達文,1999,C,東區,C05,阿公岩,陳達文,,男,43,董事經理,,,,其他,360,12.08,
1999杜本文,1999C05杜本文,1999,C,東區,C05,阿公岩,杜本文,,男,50,設計師／行政經理,Y,,,其他,1703,57.17,
1999張葵歡,1999C05張葵歡,1999,C,東區,C05,阿公岩,張葵歡,,女,42,幼稚園教師,,,民建聯,建,901,30.25,
1999謝智勇,1999C06謝智勇,1999,C,東區,C06,杏花邨,謝智勇,,男,40,業務副經理,,,民建聯,建,1433,40.49,
1999陳添勝,1999C06陳添勝,1999,C,東區,C06,杏花邨,陳添勝,,男,40,公司董事,Y,,民權黨,泛,2072,58.55,
1999古桂耀,1999C07古桂耀,1999,C,東區,C07,翠灣,古桂耀,,男,37,技術員,,,民主黨,泛,1330,39.07,
