District_code,District_name,Constituency_code,Constituency_name,Candidate_name,Political_affiliation,Camp
A,中西區,A06,堅摩,冼卓嵐,民主黨,泛民
A,中西區,A06,堅摩,周世傑,青年新政,傘
A,中西區,A06,堅摩,陳學鋒,民建聯,建制
B,灣仔,B09,樂活,蕭思江,*獨立,其他
B,灣仔,B09,樂活,謝偉俊,獨立,其他
B,灣仔,B09,樂活,麥國風,社會民主連線,泛民
C,東區,C03,鯉景灣,何超光,,其他
C,東區,C03,鯉景灣,傅元章,無黨派候選人,其他
C,東區,C03,鯉景灣,楊斯竣,*獨立,其他
C,東區,C03,鯉景灣,王學今,工黨,泛民
C,東區,C05,筲箕灣,林心亷,民主建港協進聯盟,建制
C,東區,C05,筲箕灣,梁詠詩,,傘
C,東區,C05,筲箕灣,潘詠妍,,其他
C,東區,C06,阿公岩,杜本文,,其他
C,東區,C06,阿公岩,林其東,,其他
C,東區,C06,阿公岩,洪志傑,民主建港協進聯盟,建制
C,東區,C07,杏花邨,何毅淦,香港工會聯合會,建制
C,東區,C07,杏花邨,周詠儀,獨立無黨派,其他
C,東區,C07,杏花邨,楊偉康,獨立,其他
C,東區,C08,翠灣,尹梓烽,,其他
C,東區,C08,翠灣,古桂耀,獨立,其他
C,東區,C08,翠灣,關瑞龍,*民主建港協進聯盟,建制
C,東區,C08,翠灣,黎梁笑群,獨立候選人,其他
C,東區,C10,小西灣,朱日安,,其他
C,東區,C10,小西灣,王國興,香港工會聯合會(工聯會),建制
C,東區,C10,小西灣,譚得志,人民力量,泛民
C,東區,C11,景怡,梁國鴻,香港工會聯合會,建制
C,東區,C11,景怡,楊漢成,獨立候選人,其他
C,東區,C11,景怡,陳耀德,獨立,其他
C,東區,C11,景怡,黃群峰,獨立候選人,其他
C,東區,C13,翡翠,呂志文,獨立民主派,泛民
C,東區,C13,翡翠,李莉,*獨立無黨派,其他
C,東區,C13,翡翠,黎志強,公民黨,泛民
C,東區,C24,南豐,張國昌,民主黨,泛民
C,東區,C24,南豐,李澤深,,其他
C,東區,C24,南豐,楊默,,其他
C,東區,C25,康怡,梁穎敏,公民黨,泛民
C,東區,C25,康怡,洪龍荃,新民黨,建制
C,東區,C25,康怡,黃寶兒,,其他
C,東區,C29,下耀東,吳錦偉,獨立民主派,泛民
C,東區,C29,下耀東,王志鍾,民主建港協進聯盟,建制
C,東區,C29,下耀東,王詩展,,其他
C,東區,C32,樂康,倫文傑,,其他
C,東區,C32,樂康,曾健成,社會民主連線,泛民
C,東區,C32,樂康,李進秋,,其他
D,南區,D01,香港仔,任葆琳,獨立候選人,其他
D,南區,D01,香港仔,何偉俊,*獨立候選人,其他
D,南區,D01,香港仔,文豪強,公民黨,泛民
D,南區,D01,香港仔,李傑興,,其他
D,南區,D04,利東一,區諾軒,民主黨/鴨脷洲社區職工會,泛民
D,南區,D04,利東一,李嘉盈,民建聯,建制
D,南區,D04,利東一,黃潤基,熱血公民,泛民
D,南區,D05,利東二,彭兆基,民建聯,建制
D,南區,D05,利東二,羅健熙,民主黨,泛民
D,南區,D05,利東二,蔡文龍,*熱血公民,泛民
D,南區,D05,利東二,鄧嘉樂,,其他
D,南區,D06,海怡東,區元發,,其他
D,南區,D06,海怡東,林啟暉,獨立候選人,其他
D,南區,D06,海怡東,陳家洛,公民黨,泛民
D,南區,D08,華貴,劉栢彤,,其他
D,南區,D08,華貴,楊小壁,民主黨,泛民
D,南區,D08,華貴,麥謝巧玲,民建聯,建制
D,南區,D10,華富北,尹杞殷,,其他
D,南區,D10,華富北,柴文瀚,民主黨,泛民
D,南區,D10,華富北,羅月華,獨立候選人,其他
D,南區,D10,華富北,黃才立,民建聯,建制
D,南區,D17,赤柱及石澳,姚潔凝,,其他
D,南區,D17,赤柱及石澳,曾梓濠,自由黨,建制
D,南區,D17,赤柱及石澳,李佩英,,其他
E,油尖旺,E09,櫻桃,中出羊子,香港城邦皇室,其他
E,油尖旺,E09,櫻桃,林浩揚,民主黨,泛民
E,油尖旺,E09,櫻桃,鍾澤暉,,其他
E,油尖旺,E12,大南,莊永燦,西九新動力/經民聯,建制
E,油尖旺,E12,大南,趙旭光,青年新政,傘
E,油尖旺,E12,大南,馮文韜,民主黨,泛民
