年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp
1999,葵青,S01,葵興,梁志成,街坊工友服務處,泛
1999,葵青,S02,葵盛東邨,梁廣昌,,泛
1999,葵青,S03,上大窩口,許祺祥,民主黨,泛
1999,葵青,S04,下大窩口,黃炳權,民主黨,泛
1999,葵青,S05,葵涌邨,周立仁,民主黨,泛
1999,葵青,S06,石蔭,李志輝,民主黨,泛
1999,葵青,S07,安蔭,梁永權,民主黨,泛
1999,葵青,S08,新石籬,黎少棠,,其他
1999,葵青,S09,石籬,林紹輝,民主黨,泛
1999,葵青,S10,大白田,徐生雄,民主黨,泛
1999,葵青,S11,葵芳,梁耀忠,街坊工友服務處,泛
1999,葵青,S12,華峰,單仲偕,民主黨,泛
1999,葵青,S13,祖堯,盧慧蘭,,其他
1999,葵青,S14,麗瑤,黃耀聰,,其他
1999,葵青,S15,興芳,吳劍昇,民主黨,泛
1999,葵青,S16,荔景,周奕希,民主黨,泛
1999,葵青,S17,葵盛西邨,陸景城,,泛
1999,葵青,S18,雅安,譚惠珍,,其他
1999,葵青,S19,偉海,麥美娟,,建
1999,葵青,S20,青衣邨,陳笑文,,其他
1999,葵青,S21,翠怡,羅競成,民建聯,建
1999,葵青,S22,長青,李志強,,建
1999,葵青,S23,長康,丁衍華,,泛
1999,葵青,S24,盛康,梁偉文,民建聯,建
1999,葵青,S25,青衣南,區長華,民協,泛
1999,葵青,S26,長亨,雷可畏,,其他
1999,葵青,S27,發泰,潘小屏,,其他
1999,葵青,S28,長安,趙華勝,,其他
2003,葵青,S01,葵興,梁志成,街工,泛
2003,葵青,S02,葵盛東邨,梁廣昌,倒董力量,泛
2003,葵青,S03,上大窩口,許祺祥,民主黨,泛
2003,葵青,S04,下大窩口,黃炳權,民主黨,泛
2003,葵青,S05,葵涌邨,周立仁,民主黨,泛
2003,葵青,S06,石蔭,尹兆堅,街工,泛
2003,葵青,S07,安蔭,梁永權,街工／前綫,泛
2003,葵青,S08,新石籬,黎少棠,自由黨,建
2003,葵青,S09,石籬,林紹輝,民主黨,泛
2003,葵青,S10,大白田,徐生雄,民主黨,泛
2003,葵青,S11,葵芳,梁耀忠,街工,泛
2003,葵青,S12,麗瑤,黃耀聰,－,其他
2003,葵青,S13,荔華,李永達,民主黨,泛
2003,葵青,S14,祖堯,盧慧蘭,－,其他
2003,葵青,S15,興芳,吳劍昇,民主黨,泛
2003,葵青,S16,荔景,周奕希,民主黨,泛
2003,葵青,S17,葵盛西邨,劉偉傑,獨民派,泛
2003,葵青,S18,安灝,譚惠珍,－,建
2003,葵青,S19,偉盈,麥美娟,－,建
2003,葵青,S20,青衣邨,陳笑文,－,其他
2003,葵青,S21,翠怡,王雪盈,民主黨,泛
2003,葵青,S22,長青,李志強,－,其他
2003,葵青,S23,長康,丁衍華,－,泛
2003,葵青,S24,盛康,梁偉文,民建聯,建
2003,葵青,S25,青衣南,黃光武,民主黨,泛
2003,葵青,S26,長亨,雷可畏,港進聯,建
2003,葵青,S27,青發,潘小屏,－,其他
2003,葵青,S28,長安,劉碧堅,民主黨,泛
2007,葵青,S01,葵興,梁志成,街工,泛
2007,葵青,S02,葵盛東邨,梁廣昌,－,其他
2007,葵青,S03,上大窩口,許祺祥,民主黨,泛
2007,葵青,S04,下大窩口,黃炳權,民主黨,泛
2007,葵青,S05,葵涌,黃潤達,街工,泛
2007,葵青,S06,石蔭,尹兆堅,街工,泛
2007,葵青,S07,安蔭,梁子穎,民建聯／工聯會,建
2007,葵青,S08,新石籬,梁國華,民主黨,泛
2007,葵青,S09,石籬,林紹輝,民主黨,泛
2007,葵青,S10,大白田,徐生雄,民主黨,泛
2007,葵青,S11,葵芳,梁耀忠,街工,泛
2007,葵青,S12,華麗,黃耀聰,－,其他
2007,葵青,S13,荔華,李永達,民主黨,泛
2007,葵青,S14,祖堯,盧慧蘭,－,建
2007,葵青,S15,興芳,吳劍昇,民主黨,泛
2007,葵青,S16,荔景,周奕希,民主黨,泛
2007,葵青,S17,葵盛西邨,梁玉鳳,－,泛
2007,葵青,S18,安灝,譚惠珍,自由黨,建
2007,葵青,S19,偉盈,麥美娟,－,建
2007,葵青,S20,青衣邨,陳笑文,－,其他
2007,葵青,S21,翠怡,王雪盈,民主黨,泛
2007,葵青,S22,長青,李志強,－,其他
2007,葵青,S23,長康,徐曉杰,青關,建
2007,葵青,S24,盛康,梁偉文,民建聯,建
2007,葵青,S25,青衣南,潘志成,民建聯,建
2007,葵青,S26,長亨,雷可畏,－,其他
2007,葵青,S27,青發,潘小屏,－,其他
2007,葵青,S28,長安,羅競成,民建聯,建
2011,葵青,S01,葵興,梁志成,街坊工友服務處,泛
2011,葵青,S02,葵盛東邨,周偉雄,街坊工友服務處,泛
2011,葵青,S03,上大窩口,許祺祥,民主黨,泛
2011,葵青,S04,下大窩口,黃炳權,民主黨,泛
2011,葵青,S05,葵涌邨北,梁錦威,街坊工友服務處,泛
2011,葵青,S06,葵涌邨中,黃潤達,街坊工友服務處,泛
2011,葵青,S07,石蔭,尹兆堅,民主黨,泛
2011,葵青,S08,安蔭,梁子穎,香港工會聯合會/民主建港協進聯盟,建
2011,葵青,S09,新石籬,梁國華,民主黨,泛
2011,葵青,S10,石籬,林紹輝,民主黨,泛
2011,葵青,S11,大白田,徐生雄,民主黨,泛
2011,葵青,S12,葵芳,梁耀忠,街坊工友服務處,泛
2011,葵青,S13,華麗,黃耀聰,,建
2011,葵青,S14,荔華,朱麗玲,民主建港協進聯盟,建
2011,葵青,S15,祖堯,盧慧蘭,,建
2011,葵青,S16,興芳,吳劍昇,民主黨,泛
2011,葵青,S17,荔景,周奕希,民主黨,泛
2011,葵青,S18,葵盛西邨,劉美璐,香港工會聯合會,建
2011,葵青,S19,安灝,譚惠珍,,建
2011,葵青,S20,偉盈,麥美娟,香港工會聯合會,建
2011,葵青,S21,青衣邨,陳笑文,,其他
2011,葵青,S22,翠怡,張慧晶,,建
2011,葵青,S23,長青,李志強,,其他
2011,葵青,S24,長康,徐曉杰,,建
2011,葵青,S25,盛康,梁偉文,民主建港協進聯盟,建
2011,葵青,S26,青衣南,潘志成,民主建港協進聯盟,建
2011,葵青,S27,長亨,林立志,民主黨,泛
2011,葵青,S28,青發,潘小屏,,建
2011,葵青,S29,長安,羅競成,民主建港協進聯盟,建
2015,葵青,S01,葵興,梁志成,街坊工友服務處,泛
2015,葵青,S02,葵盛東邨,周偉雄,街坊工友服務處,泛
2015,葵青,S03,上大窩口,許祺祥,民主黨,泛
2015,葵青,S04,下大窩口,黃炳權,民主黨,泛
2015,葵青,S05,葵涌邨北,梁錦威,街坊工友服務處,泛
2015,葵青,S06,葵涌邨南,黃潤達,街坊工友服務處,泛
2015,葵青,S07,石蔭,李世隆,民建聯,建
2015,葵青,S08,安蔭,梁子穎,工聯會,建
2015,葵青,S09,石籬南,吳家超,新民黨,建
2015,葵青,S10,石籬北,林紹輝,民主黨,泛
2015,葵青,S11,大白田,郭芙蓉,民建聯,建
2015,葵青,S12,葵芳,梁耀忠,街坊工友服務處,泛
2015,葵青,S13,華麗,黃耀聰,經民聯,建
2015,葵青,S14,荔華,朱麗玲,民建聯,建
2015,葵青,S15,祖堯,鮑銘康,民建聯,建
2015,葵青,S16,興芳,吳劍昇,民主黨,泛
2015,葵青,S17,荔景,周奕希,獨立候選人,其他
2015,葵青,S18,葵盛西邨,劉美璐,工聯會,建
2015,葵青,S19,安灝,譚惠珍,經民聯,建
2015,葵青,S20,偉盈,麥美娟,工聯會,建
2015,葵青,S21,青衣邨,陳笑文,獨立候選人,其他
2015,葵青,S22,翠怡,張慧晶,,建
2015,葵青,S23,長青,李志強,經民聯,建
2015,葵青,S24,長康,徐曉杰,新民黨,建
2015,葵青,S25,盛康,梁偉文,民建聯,建
2015,葵青,S26,青衣南,潘志成,民建聯,建
2015,葵青,S27,長亨,盧婉婷,民建聯,建
2015,葵青,S28,青發,林翠玲,獨立人士,其他
2015,葵青,S29,長安,羅競成,民建聯,建
