年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp,獲票數_Count_of_votes,得票率_Percentage_of_votes_obtained(%),票選或自動當選_Elected_or_uncontested,該選區登記選民數_Count_of_registered_voter,該選區居民數_Count_of_resident
1999,中西區,A01,中環,阮品強,民主黨,泛,1179,67.95,Elected,6370,17902
1999,中西區,A02,半山東,郭家麒,－,泛,1074,55.48,Elected,7450,19290
1999,中西區,A03,衛城,鄭麗琼,民主黨,泛,1014,70.96,Elected,6137,18838
1999,中西區,A04,山頂,田北俊,自由黨,建,774,64.93,Elected,3492,19559
1999,中西區,A05,大學,陳捷貴,,建,,,Uncontested,7532,19860
1999,中西區,A06,堅摩,楊位款,民建聯,建,1217,52.75,Elected,6435,16132
1999,中西區,A07,觀龍,葉國謙,民建聯,建,1552,57.16,Elected,7520,14971
1999,中西區,A08,西環,陳特楚,自由黨,建,,,Uncontested,8272,20279
1999,中西區,A09,寶翠,黃哲民,民建聯,建,1262,51.87,Elected,7348,17990
1999,中西區,A10,石塘咀,陳財喜,,其他,1309,48.23,Elected,7838,20314
1999,中西區,A11,西營盤,黎國雄,,其他,1248,49.76,Elected,8221,21133
1999,中西區,A12,上環,甘乃威,民主黨,泛,1468,47.77,Elected,6236,14470
1999,中西區,A13,東華,何俊麒,民主黨,泛,898,64.37,Elected,5521,14729
1999,中西區,A14,正街,梁耀祖,民主黨,泛,1063,58.12,Elected,5892,14887
1999,中西區,A15,水街,戴卓賢,一二三民主聯盟,泛,1096,51.75,Elected,7057,17209
2003,中西區,A01,中環,阮品強,民主黨／中民力,泛,1481,68.25,Elected,5699,15968
2003,中西區,A02,半山東,郭家麒,中民力,泛,1624,48.13,Elected,6982,19321
2003,中西區,A03,衛城,鄭麗琼,民主黨／中民力,泛,1625,72.35,Elected,6086,19846
2003,中西區,A04,山頂,林文傑,自由黨,建,672,53.29,Elected,3690,19375
2003,中西區,A05,大學,陳捷貴,－,建,,,Uncontested,7319,21134
2003,中西區,A06,堅摩,楊位款,民建聯,建,1241,49.46,Elected,5582,14817
2003,中西區,A07,觀龍,何秀蘭,前綫／公民起動,泛,1869,50.54,Elected,7141,14228
2003,中西區,A08,西環,陳特楚,自由黨,建,,,Uncontested,7192,15824
2003,中西區,A09,寶翠,楊浩然,民主黨／中民力,泛,1937,44.87,Elected,8326,21197
2003,中西區,A10,石塘咀,陳財喜,－,建,1676,58.81,Elected,6991,17018
2003,中西區,A11,西營盤,黎國雄,獨民派／中民力,泛,1744,52.69,Elected,7751,17534
2003,中西區,A12,上環,甘乃威,民主黨／中民力,泛,1756,69.71,Elected,5749,14620
2003,中西區,A13,東華,何俊麒,民主黨／中民力,泛,1348,74.03,Elected,4896,13097
2003,中西區,A14,正街,梁耀祖,民主黨／中民力,泛,1693,65.12,Elected,5672,13030
2003,中西區,A15,水街,戴卓賢,－,泛,1327,50.13,Elected,6633,14687
2007,中西區,A01,中環,阮品強,民主黨,泛,1107,60.99,Elected,5811,16090
2007,中西區,A02,半山東,張翼雄,－,建,1370,55.02,Elected,7568,18412
2007,中西區,A03,衛城,鄭麗琼,民主黨,泛,1388,71.07,Elected,6958,17905
2007,中西區,A04,山頂,陳淑莊,公民黨,泛,795,47.66,Elected,4525,19252
2007,中西區,A05,大學,陳捷貴,－,建,1420,54.66,Elected,8190,19253
2007,中西區,A06,堅摩,陳學鋒,民建聯,建,1417,48.86,Elected,6377,16319
2007,中西區,A07,觀龍,葉國謙,民建聯,建,2702,83.01,Elected,7500,14333
2007,中西區,A08,西環,陳特楚,自由黨,建,,,Uncontested,7860,15580
2007,中西區,A09,寶翠,楊浩然,民主黨,泛,2135,52.41,Elected,9881,21141
2007,中西區,A10,石塘咀,陳財喜,－,建,1892,71.02,Elected,7801,16597
2007,中西區,A11,西營盤,盧懿行,民建聯,建,1850,60.74,Elected,7746,14841
2007,中西區,A12,上環,甘乃威,民主黨,泛,1783,68.6,Elected,7184,17425
2007,中西區,A13,東華,何俊麒,民主黨,泛,1033,59.3,Elected,5407,13352
2007,中西區,A14,正街,李志恒,－,建,2013,64.75,Elected,6990,15045
2007,中西區,A15,水街,黃堅成,民主黨,泛,1407,57.26,Elected,7120,14362
2011,中西區,A01,中環,許智峯,民主黨,泛,951,50.8,Elected,5217,18529
2011,中西區,A02,半山東,張翼雄,,建,1432,57.07,Elected,7040,20337
2011,中西區,A03,衛城,鄭麗琼,民主黨,泛,1291,58.1,Elected,6831,18913
2011,中西區,A04,山頂,陳浩濂,自由黨,建,1505,64.18,Elected,4983,21203
2011,中西區,A05,大學,陳捷貴,,建,2169,78.93,Elected,8123,18535
2011,中西區,A06,堅摩,陳學鋒,民主建港協進聯盟,建,1721,52.86,Elected,6797,17270
2011,中西區,A07,觀龍,葉國謙,民主建港協進聯盟,建,2723,72.08,Elected,7610,13355
2011,中西區,A08,西環,張國鈞,民主建港協進聯盟,建,1655,49.21,Elected,7635,16214
