年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp
1999,深水埗,F01,寶麗,梁有方,民協,泛
1999,深水埗,F02,長沙灣,林家輝,,建
1999,深水埗,F03,南昌北,梁漢華,一二三民主聯盟,泛
1999,深水埗,F04,南昌東,梁欐,民協,泛
1999,深水埗,F05,南昌南,黃鑑權,,建
1999,深水埗,F06,南昌中,張文韜,民協,泛
1999,深水埗,F07,下南昌,戴遠名,民協,泛
1999,深水埗,F08,南昌西,衛煥南,民協,泛
1999,深水埗,F09,麗閣,黃仲棋,民主黨,泛
1999,深水埗,F10,元州,陸嘉名,民主黨,泛
1999,深水埗,F11,荔枝角,馬旗,民主黨,泛
1999,深水埗,F12,美孚,曾有發,民建聯,建
1999,深水埗,F13,荔灣,譚國雄,,其他
1999,深水埗,F14,清荔,張永森,,其他
1999,深水埗,F15,澤安,譚國僑,民協,泛
1999,深水埗,F16,蘇屋,陳偉明,民建聯,建
1999,深水埗,F17,李鄭屋,符樹雲,民建聯,建
1999,深水埗,F18,白田,甄啟榮,民協,泛
1999,深水埗,F19,大坑東及又一村,梁錦滔,民協,泛
1999,深水埗,F20,南山,王桂雲,民協,泛
1999,深水埗,F21,石硤尾,馮檢基,民協,泛
2003,深水埗,F01,寶麗,梁有方,民協,泛
2003,深水埗,F02,長沙灣,林家輝,－,建
2003,深水埗,F03,南昌北,梁漢華,－,其他
2003,深水埗,F04,南昌東,梁欐,民協,泛
2003,深水埗,F05,南昌南,黃鑑權,勞聯,建
2003,深水埗,F06,南昌中,戴遠名,民協,泛
2003,深水埗,F07,南昌西,衞煥南,民協,泛
2003,深水埗,F08,富昌,黎慧蘭,民協,泛
2003,深水埗,F09,麗閣,馮檢基,民協,泛
2003,深水埗,F10,元州,覃德誠,民協,泛
2003,深水埗,F11,荔枝角,莊志達,民主黨,泛
2003,深水埗,F12,美孚南,王德全,民主黨,泛
2003,深水埗,F13,美孚中,譚國雄,－,泛
2003,深水埗,F14,美孚北,張永森,－,其他
2003,深水埗,F15,龍坪,吳美,民協,泛
2003,深水埗,F16,蘇屋,陳偉明,民建聯,建
2003,深水埗,F17,李鄭屋,官世亮,民協,泛
2003,深水埗,F18,白田,甄啟榮,民協,泛
2003,深水埗,F19,大坑東及又一村,梁錦滔,民協,泛
2003,深水埗,F20,南山,王桂雲,民協,泛
2003,深水埗,F21,石硤尾,譚國僑,民協,泛
2007,深水埗,F01,寶麗,梁有方,民協,泛
2007,深水埗,F02,長沙灣,林家輝,－,建
2007,深水埗,F03,南昌北,鄭泳舜,民建聯,建
2007,深水埗,F04,石硤尾及南昌東,譚國僑,民協,泛
2007,深水埗,F05,南昌南,黃鑑權,勞聯,建
2007,深水埗,F06,南昌中,劉佩玉,民建聯,建
2007,深水埗,F07,南昌西,衞煥南,民協,泛
2007,深水埗,F08,富昌,黎慧蘭,民協,泛
2007,深水埗,F09,麗閣,馮檢基,民協,泛
2007,深水埗,F10,元州,覃德誠,民協,泛
2007,深水埗,F11,荔枝角南,黃志勇,民協,泛
2007,深水埗,F12,美孚南,王德全,民主黨,泛
2007,深水埗,F13,美孚中,沈少雄,－,建
2007,深水埗,F14,美孚北,張永森,－,其他
2007,深水埗,F15,荔枝角北,莊志達,民主黨,泛
2007,深水埗,F16,蘇屋,陳偉明,民建聯,建
2007,深水埗,F17,李鄭屋,官世亮,民協,泛
2007,深水埗,F18,下白田,甄啟榮,－,其他
2007,深水埗,F19,又一村,郭振華,－,建
2007,深水埗,F20,南山、大坑東及大坑西,王桂雲,民協,泛
2007,深水埗,F21,龍坪及上白田,吳美,民協,泛
2011,深水埗,F01,寶麗,梁有方,香港民主民生協進會,泛
2011,深水埗,F02,長沙灣,林家輝,,建
2011,深水埗,F03,南昌北,鄭泳舜,民主建港協進聯盟,建
2011,深水埗,F04,石硤尾及南昌東,秦寶山,香港民主民生協進會,泛
2011,深水埗,F05,南昌南,李詠民,港九勞工社團聯會,建
2011,深水埗,F06,南昌中,劉佩玉,民主建港協進聯盟,建
2011,深水埗,F07,南昌西,衞煥南,香港民主民生協進會,泛
2011,深水埗,F08,富昌,梁文廣,富昌邨居民協會,建
2011,深水埗,F09,麗閣,馮檢基,香港民主民生協進會,泛
2011,深水埗,F10,幸福,覃德誠,香港民主民生協進會,泛
2011,深水埗,F11,荔枝角南,黃志勇,香港民主民生協進會,泛
2011,深水埗,F12,美孚南,黃達東,民主建港協進聯盟,建
2011,深水埗,F13,美孚中,沈少雄,,建
2011,深水埗,F14,美孚北,張永森,,建
2011,深水埗,F15,荔枝角北,李祺逢,,建
2011,深水埗,F16,元州及蘇屋,陳偉明,民主建港協進聯盟,建
2011,深水埗,F17,李鄭屋,陳鏡秋,,建
2011,深水埗,F18,下白田,甄啟榮,,其他
2011,深水埗,F19,又一村,郭振華,,建
2011,深水埗,F20,南山、大坑東及大坑西,韋海英,,建
