District_code,District_name,Constituency_code,Constituency_name,Candidate_name,Political_affiliation,Political_camp
B,灣仔,B04,維園,周潔冰,民主建港協進聯盟,建制
B,灣仔,B06,銅鑼灣,伍婉婷,*獨立,其他
C,東區,C09,欣藍,黃健興,,其他
C,東區,C14,柏架山,黃建彬,民主建港協進聯盟,建制
C,東區,C15,寶馬山,邵家輝,自由黨,建制
C,東區,C16,炮台山,羅榮焜,,其他
C,東區,C17,城市花園,許清安,,其他
C,東區,C18,和富,郭偉强,香港工會聯合會,建制
C,東區,C19,堡壘,洪連杉,民主建港協進聯盟,建制
C,東區,C20,錦屏,蔡素玉,民主建港協進聯盟,建制
C,東區,C22,健康村,鄭志成,民主建港協進聯盟,建制
C,東區,C30,上耀東,趙資強,香港工會聯合會,建制
D,南區,D02,鴨脷洲邨,林玉珍,獨立候選人,其他
D,南區,D13,田灣,陳富明,*獨立候選人,其他
D,南區,D14,石漁,朱立威,民建聯,建制
E,油尖旺,E03,佐敦西,陳少棠,民建聯,建制
E,油尖旺,E06,旺角西,許德亮,,其他
E,油尖旺,E15,旺角南,仇振輝,,其他
G,九龍城,G08,太子,丁健華,獨立候選人,其他
G,九龍城,G09,九龍塘,何顯明,自由黨,建制
G,九龍城,G22,家維,勞超傑,,其他
H,黃大仙,H11,橫頭磡,黎榮浩,民建聯,建制
H,黃大仙,H18,正安,黃逸旭,*獨立,其他
J,觀塘,J01,觀塘中心,陳華裕,,其他
J,觀塘,J02,九龍灣,潘任惠珍,,其他
J,觀塘,J05,坪石,陳俊傑,民主建港協進聯盟,建制
J,觀塘,J06,雙彩,譚肇卓,民建聯,建制
J,觀塘,J09,雙順,符碧珍,,其他
J,觀塘,J12,秀茂坪北,黃春平,,其他
J,觀塘,J15,秀茂坪中,張培剛,民建聯,建制
J,觀塘,J18,廣德,柯創盛,民建聯,建制
J,觀塘,J21,油塘東,張琪騰,民建聯,建制
J,觀塘,J24,油塘西,呂東孩,獨立候選人,其他
J,觀塘,J35,淘大,葉興國,,其他
K,荃灣,K01,德華,羅少傑,,其他
K,荃灣,K05,福來,葛兆源,*香港工會聯合會(工聯會),建制
L,屯門,L07,翠興,朱耀華,新民黨,建制
L,屯門,L09,景興,陳有海,香港工會聯合會,建制
L,屯門,L20,龍門,龍瑞卿,民主建港協進聯盟,建制
M,元朗,M02,水邊,袁敏兒,,其他
M,元朗,M08,十八鄉東,沈豪傑,,其他
M,元朗,M09,十八鄉中,梁明堅,,其他
M,元朗,M10,十八鄉西,程振明,,其他
M,元朗,M11,屏山南,張木林,新界社團聯會,建制
M,元朗,M12,屏山中,鄧慶業,,其他
M,元朗,M19,悅恩,趙秀嫻,,其他
M,元朗,M23,宏逸,姚國威,香港工會聯合會,建制
M,元朗,M33,錦田,鄧卓然,,其他
N,北區,N04,華都,姚銘,民建聯/新社聯,建制
N,北區,N06,欣盛,劉國勳,民建聯,建制
N,北區,N07,盛福,温和達,香港工會聯合會,建制
N,北區,N09,清河,藍偉良,民建聯,建制
N,北區,N18,皇后山,鄧根年,民建聯,建制
P,大埔,P10,大埔滘,陳笑權,*獨立候選人,其他
P,大埔,P15,太和,鄭俊和,,其他
P,大埔,P18,船灣,劉志成,*獨立候選人,其他
Q,西貢,Q03,西貢離島,李家良,民建聯,建制
Q,西貢,Q23,德明,温悅昌,新民黨/公民力量,建制
R,沙田,R04,第一城,黃嘉榮,新民黨,建制
R,沙田,R05,愉城,梁家輝,新民黨/公民力量,建制
R,沙田,R17,田心,潘國山,新民黨/公民力量,建制
R,沙田,R35,愉欣,姚嘉俊,新民黨/公民力量,建制
S,葵青,S14,荔華,朱麗玲,民建聯,建制
S,葵青,S17,荔景,周奕希,獨立候選人,其他
S,葵青,S20,偉盈,麥美娟,工聯會,建制
S,葵青,S24,長康,徐曉杰,新民黨,建制
T,離島,T07,坪洲及喜靈洲,曾秀好,,其他
T,離島,T08,南丫及蒲台,余麗芬,民建聯,建制
