年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp
1999,灣仔,B01,軒尼詩,黃漢清,香港華人革新協會,建
1999,灣仔,B02,愛群,鄭琴淵,民建聯,建
1999,灣仔,B03,鵝頸,孫啟昌 ,民建聯,建
1999,灣仔,B04,銅鑼灣,謝永齡,民主黨,泛
1999,灣仔,B05,大坑,李慶偉,民主黨,泛
1999,灣仔,B06,渣甸山,曹聖玉,,建
1999,灣仔,B07,樂活,黃英琦,自由黨,建
1999,灣仔,B08,跑馬地,吳錦津,,建
1999,灣仔,B09,司徒拔道,馮國輝,,建
1999,灣仔,B10,修頓,林貝聿嘉,,建
1999,灣仔,B11,大佛口,盧天送,民建聯,建
2003,灣仔,B01,軒尼詩,鄭其建,公民起動,泛
2003,灣仔,B02,愛群,鄭琴淵,民建聯,建
2003,灣仔,B03,鵝頸,李繼雄,－,泛
2003,灣仔,B04,銅鑼灣,謝永齡,民主黨,泛
2003,灣仔,B05,大坑,李慶偉,民主黨,泛
2003,灣仔,B06,渣甸山,陳耀輝,公民起動,泛
2003,灣仔,B07,樂活,黃英琦,－,泛
2003,灣仔,B08,跑馬地,吳錦津,－,建
2003,灣仔,B09,司徒拔道,黃宏泰,－,建
2003,灣仔,B10,修頓,金佩瑋,公民起動,泛
2003,灣仔,B11,大佛口,盧健明,灣社盟,泛
2007,灣仔,B01,軒尼詩,鄭其建,－,其他
2007,灣仔,B02,愛群,鄭琴淵,民建聯,建
2007,灣仔,B03,鵝頸,李繼雄,－,建
2007,灣仔,B04,銅鑼灣,伍婉婷,－,建
2007,灣仔,B05,大坑,黃楚峰,－,建
2007,灣仔,B06,渣甸山,黎大偉,－,其他
2007,灣仔,B07,樂活,麥國風,社民連,泛
2007,灣仔,B08,跑馬地,吳錦津,－,建
2007,灣仔,B09,司徒拔道,黃宏泰,－,建
2007,灣仔,B10,修頓,李碧儀,－,其他
2007,灣仔,B11,大佛口,李均頤,民建聯,建
2011,灣仔,B01,軒尼詩,鄭其建,,其他
2011,灣仔,B02,愛群,鄭琴淵,民主建港協進聯盟,建
2011,灣仔,B03,鵝頸,鍾嘉敏,民主建港協進聯盟,建
2011,灣仔,B04,銅鑼灣,伍婉婷,,建
2011,灣仔,B05,大坑,黃楚峰,新民黨,建
2011,灣仔,B06,渣甸山,黎大偉,無黨派獨立候選人,其他
2011,灣仔,B07,樂活,白韻琹,,建
2011,灣仔,B08,跑馬地,吳錦津,,建
2011,灣仔,B09,司徒拔道,黃宏泰,,建
2011,灣仔,B10,修頓,李碧儀,,建
2011,灣仔,B11,大佛口,李均頤,民主建港協進聯盟,建
